website,website_category,label

Ratopati,समाचार,General News
Ratopati,हेडलाइन,General News
Ratopati,अदालत/प्रशासन,Politics & Government
Ratopati,सुरक्षा/अपराध,Crime
Ratopati,अर्थतन्त्र,Business & Economy
Ratopati,अर्थ:अन्तर्वार्ता,Business & Economy
Ratopati,सेयर मार्केट,Business & Economy
Ratopati,बैंक/बीमा,Business & Economy
Ratopati,कर्पोरेट,Business & Economy
Ratopati,विचार,Opinion
Ratopati,ब्लग,Opinion
Ratopati,साहित्य,Opinion
Ratopati,रातोपाटी खुलामञ्च,Opinion
Ratopati,अन्तरवार्ता,Opinion
Ratopati,स्वास्थ्य,Health
Ratopati,शिक्षा,Education
Ratopati,मनोरञ्जन,Entertainment
Ratopati,मोडल/सेलिब्रेटी,Entertainment
Ratopati,खेलकुद,Sports
Ratopati,फुटबल,Sports
Ratopati,क्रिकेट,Sports
Ratopati,विश्व,International

Setopati,कभर स्टोरी,General News
Setopati,राजनीति,Politics & Government
Setopati,बजार अर्थतन्त्र,Business & Economy
Setopati,नेपाली ब्रान्ड,Business & Economy
Setopati,विचार,Opinion
Setopati,ब्लग,Opinion
Setopati,समाज,General News
Setopati,खेलकुद,Sports
Setopati,ग्लोबल,International
Setopati,कला,Entertainment
Setopati,प्रिमियम स्टोरी,General News

News24,समाचार,General News
News24,मुख्य समाचार,General News
News24,राजनीति,Politics & Government
News24,आर्थिक,Business & Economy
News24,पर्यटन,Business & Economy
News24,कृषि,Business & Economy
News24,कर्पोरेट,Business & Economy
News24,स्वास्थ्य,Health
News24,साहित्य/ब्लग,Opinion
News24,कला/मनोरन्जन,Entertainment
News24,समाज,General News
News24,अन्तर्वार्ता,Opinion
News24,खेल खबर,Sports
News24,शिक्षा,Education
News24,विश्व,International
News24,विविध,General News
